TREEID,OBJECTID,ONSTREET,PARITY,CROSSSTREE,CROSSSTR_1,Location plain text,y,x,TREELOCATI,SITE,TREEPIT,TREECONDIT,DIAMETER,SPECIES,BOROUGH,ZIPCODE,FID_1,COMMDIST
23045,4773,MALCOLM X BOULEVARD,odd,CHAUNCEY STREET,MARION STREET,"120 CHAUNCEY STREET, Brooklyn, NY",-73.9296055789, 40.6803040263158,5,7,1,7,0,,Brooklyn,11233,30,303
23041,4776,MALCOLM X BOULEVARD,odd,CHAUNCEY STREET,MARION STREET,"120 CHAUNCEY STREET, Brooklyn, NY",-73.9296055789, 40.6803040263158,4,7,1,7,0,,Brooklyn,11233,30,303
23046,4778,MALCOLM X BOULEVARD,odd,CHAUNCEY STREET,MARION STREET,"120 CHAUNCEY STREET, Brooklyn, NY",-73.9296055789, 40.6803040263158,6,7,1,7,0,,Brooklyn,11233,30,303
23053,4784,MALCOLM X BOULEVARD,odd,CHAUNCEY STREET,MARION STREET,"120 CHAUNCEY STREET, Brooklyn, NY",-73.9296055789, 40.6803040263158,7,7,1,2,6,TIAM,Brooklyn,11233,30,303
23071,4791,MALCOLM X BOULEVARD,odd,MAC DONOUGH STREET,DECATUR STREET,"285 MALCOLM X BOULEVARD, Brooklyn, NY",-73.9296055789, 40.6803040263158,1,1,1,2,6,TADI,Brooklyn,11233,30,303
23068,4794,MALCOLM X BOULEVARD,odd,MAC DONOUGH STREET,DECATUR STREET,"281 MALCOLM X BOULEVARD, Brooklyn, NY",-73.9288204, 40.6824719,1,1,1,7,0,,Brooklyn,11233,30,303
23076,4801,MALCOLM X BOULEVARD,odd,MAC DONOUGH STREET,DECATUR STREET,"291 MALCOLM X BOULEVARD, Brooklyn, NY",-73.9288457, 40.6825895,1,1,1,1,7,TADI,Brooklyn,11233,30,303
23082,4803,MALCOLM X BOULEVARD,odd,MAC DONOUGH STREET,DECATUR STREET,"291 MALCOLM X BOULEVARD, Brooklyn, NY",-73.9297497, 40.6863652,2,1,1,2,13,TICO,Brooklyn,11233,30,303
23087,4805,MALCOLM X BOULEVARD,odd,MACON STREET,MAC DONOUGH STREET,"273 MALCOLM X BOULEVARD, Brooklyn, NY",-73.9297497, 40.6863652,1,1,1,2,11,TICO,Brooklyn,11233,30,303
23089,4806,MALCOLM X BOULEVARD,odd,MACON STREET,MAC DONOUGH STREET,"277 MALCOLM X BOULEVARD, Brooklyn, NY",-73.9288625973, 40.6830675,1,1,1,3,9,FRPE,Brooklyn,11233,30,303
23086,4809,MALCOLM X BOULEVARD,odd,MACON STREET,MAC DONOUGH STREET,"271 MALCOLM X BOULEVARD, Brooklyn, NY",-73.9288304362, 40.6829066,1,1,1,2,13,TICO,Brooklyn,11233,30,303
23096,4814,MALCOLM X BOULEVARD,even,MACON STREET,MAC DONOUGH STREET,"500 MACON STREET, Brooklyn, NY",-73.9299696367, 40.68304795,1,2,1,2,3,GIBI,Brooklyn,11233,30,303
23098,4815,MALCOLM X BOULEVARD,even,MACON STREET,MAC DONOUGH STREET,"500 MACON STREET, Brooklyn, NY",-73.9288631324, 40.68313,2,2,1,2,3,GIBI,Brooklyn,11233,30,303
23107,4823,MALCOLM X BOULEVARD,even,MAC DONOUGH STREET,DECATUR STREET,"308 MALCOLM X BOULEVARD, Brooklyn, NY",-73.9299696367, 40.68304795,1,1,1,2,15,QUPA,Brooklyn,11233,30,303
